ID,Q1,A1,T1,Q2,A2,T2,Q3,A3,T3,Q4,A4,T4,Q5,A5,T5
1,誰在洪水後獻燔祭，神聞馨香之氣？,挪亞,創世記8:20,亞伯拉罕與亞比米勒立約的地方叫什麼？,別是巴,創世記21:31,「耶穌說：『你們要防備假先知。』」出自哪一卷福音書？,馬太福音,馬太福音7:15,二十四位長老在寶座前敬拜時所戴的頭飾叫什麼？,冠冕,啟示錄 4:4,上帝用幾日創造天地萬物，第七日便安息？,6,創世記 2:2
2,誰從加利利跟隨耶穌到耶路撒冷，見證祂受難？,馬利亞,馬太福音27:55-56,保羅在哥林多住了一年半，那城在何處？,哥林多,使徒行傳18:11,「耶穌說：『我賜給你們一條新命令，乃是叫你們彼此相愛。』」出自哪一卷福音書？,約翰福音,約翰福音13:34,但以理書中，腿是什麼金屬？,鐵,但以理書 2:33,以色列人繞耶利哥城多少日，每日一次，到第七日繞七次，城牆就倒塌？,6,約書亞記 6:3–4
3,誰對羅得說：「你往哪裏去，我也往那裏去」？,拿俄米,路得記1:16,所羅門在哪座城建造聖殿？,耶路撒冷,列王紀上6:1,「神是靈，所以拜祂的，必須用」什麼「拜祂」？,心靈誠實,約翰福音4:24,保羅在哥林多以織造維生，所製作的遮蔽物是什麼？,帳棚,使徒行傳 18:3,挪亞洪水時，雨降在地上共多少晝夜？,40,創世記 7:12
4,誰是基甸之子，殺兄弟自立為王？,亞比米勒,士師記9:5,耶穌在哪座山祝福門徒後升天？,橄欖山,路加福音24:50-51,「基督」的意思是什麼？,受膏者,使徒行傳2:36,囚犯的什麼也鬆開了？,鎖鍊,使徒行傳 16:26,摩西在西奈山上四十晝夜領受法版，一共上去幾次？,2,出埃及記 24:18; 34:28
5,誰在大馬士革為保羅施洗，使他恢復視力？,亞拿尼亞,使徒行傳9:17-18,約書亞與百姓立石為記的地方是哪？,吉甲,約書亞記4:20,「我就是門」，凡從我進來的，必然怎樣？,得救,約翰福音10:9,非利士巨人歌利亞身上穿戴的重型護具是什麼？,鎧甲,撒母耳記上 17:5,但以理的三個朋友被扔進火窯，王見有幾個人在火中行走？,4,但以理書 3:25
6,拉撒路的姐姐中，哪一位為耶穌預備飯食？,馬大,路加福音10:38-40,耶穌在哪座城教導“不義的管家”？,耶路撒冷,路加福音16:1,「祂名稱為奇妙、策士、全能的神、永在的父、和平的君。」出自哪一卷書？,以賽亞書,以賽亞書9:6,上帝在曠野賜下的食物，以色列人問「這是什麼？」，那食物叫什麼？,吗哪,出埃及記 16:15,耶穌用五餅二魚餵飽五千人後，剩下的零碎裝滿多少籃子？,12,馬太福音 14:20
7,誰在公會中建議不要殺害耶穌的門徒？,伽瑪列,使徒行傳5:34-39,約拿被神差派去哪座大城傳道？,尼尼微,約拿書3:2,「基督釋放了我們，叫我們得以自由。」出自哪一卷書？,加拉太書,加拉太書5:1,撒網比喻中，好的水產被收在什麼容器裡？,器皿,馬太福音 13:48,耶穌在加利利海邊向門徒顯現時，問彼得「你愛我嗎？」共幾次？,3,約翰福音 21:15–17
8,誰被揀選遞補猶大，成為十二使徒之一？,馬提亞,使徒行傳1:26,以利亞與巴力先知對決的山是哪一座？,迦密山,列王紀上18:19,「人子來，為要尋找、拯救失喪的人。」出自哪一卷福音書？,路加福音,路加福音19:10,摩西在何烈山打碎的物體叫什麼？,石版,出埃及記 32:19,保羅在大馬士革路上遇見主，三天不能看見，也不吃不喝，共多少日？,3,使徒行傳 9:9
9,誰是亞當和夏娃的兒子，在亞伯死後被神賜下作代替？,塞特,創世記4:25,以利亞在迦密山降火後，祈雨的地點是哪座山？,迦密山,列王紀上18:42,「保羅說：『我們曉得萬事都互相效力，叫愛神的人得益處。』」出自哪一卷書？,羅馬書,羅馬書8:28,雅各用什麼食物換取以掃的長子名分？,紅豆湯,創世記 25:34,耶穌在橄欖山講論末世時，提到有幾位童女拿著燈出去迎接新郎？,10,馬太福音 25:1
10,誰在曠野受魔鬼試探四十天？,耶穌,馬太福音4:1-2,巴別塔事件發生在示拿地，那地後來稱為什麼？,巴比倫,創世記10:10,「耶穌說：『父啊，願你榮耀你的兒子。』」出自哪一卷福音書？,約翰福音,約翰福音17:1,耶穌在伯大尼，馬利亞用真哪噠香膏抹主，那香膏盛在什麼裡？,玉瓶,馬可福音 14:3,五旬節那天，彼得講道後，有多少人受洗歸主？,3000,使徒行傳 2:41
11,誰被兄弟們賣到埃及，最終成為法老的宰相？,約瑟,創世記37:28；41:41,以利亞在曠野走了四十天，到了哪座山？,何烈山,列王紀上19:8,「敬畏耶和華是智慧的開端。」出自哪一卷書？,箴言,箴言9:10,保羅和西拉在獄中禱告，地震後什麼立刻打開了？,監門,使徒行傳 16:26,上帝吩咐挪亞將潔淨的動物每種帶幾隻進方舟？,7,創世記 7:2
